Municipio,Cantidad_Especies,Categoría
Covarachía,1,VU
Cubará,24,VU
Duitama,155,VU
El Espino,1,VU
Firavitoba,2,VU
Gachantivá,12,VU
Garagoa,73,VU
Guateque,1,VU
Guayatá,2,VU
Guican de la Sierra,2,VU
Iza,2,VU
La Uvita,3,VU
Labranzagrande,6,VU
Macanal,12,VU
Miraflores,217,VU
Mongua,141,VU
Monguí,53,VU
Moniquirá,9,VU
Muzo,10,VU
Nobsa,1,VU
Otanche,55,VU
Pachavita,4,VU
Paez,6,VU
Paipa,92,VU
Pajarito,41,VU
Panqueba,2,VU
Pauna,45,VU
Paya,19,VU
Pesca,4,VU
Pisba,4,VU
Puerto Boyacá,520,VU
Quipamá,15,VU
Ramiriquí,1,VU
Raquira,3,VU
Rondón,27,VU
Saboyá,1,VU
Sachicá,6,VU
Samacá,36,VU
San Eduardo,1,VU
San José de Pare,1,VU
San Luis de Gaceno,4,VU
San Miguel de Sema,3,VU
San Pablo de Borbur,9,VU
Santa María,606,VU
Santa Rosa de Viterbo,1,VU
Santa Sofía,2,VU
Siachoque,1,VU
Soatá,74,VU
Socha,2,VU
Socotá,2,VU
Sogamoso,3,VU
Somondoco,1,VU
Soracá,1,VU
Sotaquira,48,VU
Susacón,14,VU
Sutamarchán,3,VU
Tasco,149,VU
Tibasosa,1,VU
Tinjacá,1,VU
Tipacoque,14,VU
Toca,1,VU
Togüí,1,VU
Topagá,4,VU
Tota,1,VU
Tunja,7,VU
Tunungua,2,VU
Turmequé,5,VU
Tuta,3,VU
Tutazá,97,VU
Úmbita,,VU
Ventaquemada,,VU
Villa de Leyva,71,VU
Viracacha,2,VU
Zetaquira,13,VU
Aquitania,500,CR
Arcabuco,1,CR
Boyacá,1,CR
Chita,1,CR
Cuitiva,85,CR
Duitama,1,CR
El Cocuy,12,CR
Firavitoba,10,CR
Guican de la Sierra,22,CR
Mongua,22,CR
Monguí,2,CR
Muzo,1,CR
Otanche,7,CR
Paez,2,CR
Paipa,7,CR
Panqueba,2,CR
Pesca,3,CR
Puerto Boyacá,416,CR
Raquira,37,CR
San Miguel de Sema,13,CR
Santa María,2,CR
Soatá,243,CR
Socha,39,CR
Socotá,15,CR
Sogamoso,65,CR
Soracá,2,CR
Susacón,1,CR
Tasco,6,CR
Tipacoque,4,CR
Tota,99,CR
Villa de Leyva,2,CR
Aquitania,434,EN
Arcabuco,4,EN
Boavita,5,EN
Boyacá,1,EN
Buenavista,1,EN
Campohermoso,4,EN
Chivor,1,EN
Ciénaga,34,EN
Combita,3,EN
Cubará,3,EN
Cuitiva,42,EN
Duitama,151,EN
El Cocuy,10,EN
Gachantivá,22,EN
Garagoa,14,EN
Guacamayas,1,EN
Guican de la Sierra,1,EN
Macanal,1,EN
Miraflores,10,EN
Mongua,1,EN
Motavita,2,EN
Muzo,12,EN
Oicata,1,EN
Otanche,105,EN
Paipa,32,EN
Pajarito,112,EN
Paya,14,EN
Pesca,5,EN
Puerto Boyacá,172,EN
Quipamá,1,EN
Ramiriquí,2,EN
Raquira,91,EN
Rondón,5,EN
Sachicá,7,EN
Samacá,1,EN
San Luis de Gaceno,1,EN
San Mateo,1,EN
San Miguel de Sema,5,EN
San Pablo de Borbur,6,EN
Santa María,36,EN
Santa Rosa de Viterbo,2,EN
Santa Sofía,1,EN
Soatá,430,EN
Socha,14,EN
Sogamoso,7,EN
Sora,2,EN
Susacón,2,EN
Sutamarchán,2,EN
Tasco,1,EN
Tibasosa,1,EN
Tipacoque,3,EN
Toca,141,EN
Tota,98,EN
Tunja,5,EN
Tuta,4,EN
Villa de Leyva,5,EN
Viracacha,8,EN
